,nestid,orig_id,date_created,latitude,longitude,northing,easting,description,dist_nearest_subcol_nest_m,egg_number,notes,pebble_distrib_nearby,rocksize_cm,status,area
1,solo1,solo1,11/18/2021,-77.45054932,169.2257349,0,0,NA,9,0,another male standing nearby EVing but he doesnâ€™t have a nest,some,15,FBN,N
2,solo2,solo2,11/18/2021,-77.45078289,169.2258219,0,0,NA,4,0,nearest subcol member also pretty far (1.5m) from other nesters,some,20,KC/FBN,N
3,solo3,solo5,11/18/2021,-77.45261541,169.2293483,0,0,NA,3,0,,abundant,8,P/WBN,M
4,solo4,solo6,11/18/2021,-77.4535063,169.2297616,0,0,NA,3,0,,abundant,30,KC/WBN,M
5,solo5,solo7,11/18/2021,-77.45389396,169.2167499,0,0,NA,10,8,rock wall barrier built out of like 6 rocks,abundant,30,P/INC,C
6,solo6,solo8,11/19/2021,-77.45327546,169.2276157,0,0,NA,3,2,nest is in snowâ€¦ 1 rock at bow & 1 astern,some,25,WBN,M
7,solo7,solo9,11/19/2021,-77.45275458,169.2261421,0,0,NA,4,0,,some,45,KC/FBN,C
8,solo8,solo10,11/19/2021,-77.4527181,169.2257861,0,0,NA,8,1,,abundant,60,WBN,C
9,solo9,solo11,11/19/2021,-77.45314261,169.2302772,0,0,NA,3,0,,some,20,FBN,M
10,solo10,solo13,11/20/2021,-77.45287787,169.2163873,0,0,NA,6,0,,abundant,15,PBN,C
11,solo11,solo14,11/20/2021,-77.45307787,169.2178887,0,0,NA,3,0,ran away from nest as I approached ~5m away,abundant,40,FBN,C
12,solo12,solo15,11/20/2021,-77.45289475,169.2178205,0,0,NA,3,0,,abundant,0,WBN,C
13,solo13,solo16,11/20/2021,-77.45214028,169.2256292,0,0,NA,3,0,,abundant,15,WBN,N
14,solo14,solo17,11/20/2021,-77.45440836,169.2312832,0,0,NA,3,2,,some,60,FBN,P
15,solo15,solo18,11/20/2021,-77.45486245,169.2337818,0,0,NA,12,0,,abundant,30,FBN,P
16,solo16,solo19,11/20/2021,-77.45521142,169.2341426,0,0,NA,9,0,,some,20,FBN,P
17,solo17,solo20,11/20/2021,-77.45419768,169.2356653,0,0,NA,7,2,,some,45,P/WBN,L
18,solo18,solo21,11/20/2021,-77.45083547,169.2209615,0,0,NA,6,0,EVing,some,0,PBN,N
19,solo19,solo22,11/20/2021,-77.45302551,169.2219868,0,0,NA,8,0,,abundant,30,FBN,C
20,solo20,solo23,11/20/2021,-77.45340637,169.2192237,0,0,NA,10,8,,abundant,45,WBN,C
21,solo21,solo24,11/20/2021,-77.45343274,169.2177019,0,0,NA,11,2,,abundant,30,FBN,C
22,solo22,solo101,11/18/2021,-77.45212856,169.2324427,0,0,NA,8,2,Rock size of 2 penguins,none,45,P/INC,M
23,solo23,solo102,11/18/2021,-77.45313467,169.2366884,0,0,NA,7,2,One neighbor ~3m away,none,0,INC,L
24,solo24,solo103,11/18/2021,-77.45359282,169.2381229,0,0,NA,3,0,Small pebbles,abundant,20,PBN,L
25,solo25,solo104,11/18/2021,-77.45346919,169.2393904,363362.0003,497721.4811,NA,4,2,"Nest on snow, eggs wet",none,0,INC,L
26,solo26,solo105,11/18/2021,-77.45536465,169.245581,363150.67,497871.945,NA,4,2,"Rock downhill, only gravel nearby",none,20,INC,HK
27,solo27,solo106,11/18/2021,-77.45803907,169.2444594,362852.1212,497845.1993,NA,3,0,,abundant,10,WBN,G
28,solo28,solo107,11/18/2021,-77.46102758,169.2254157,362517.7808,497384.0888,NA,15,0,Looks like old subcolony,abundant,8,WBN,D
29,solo29,solo108,11/19/2021,-77.4528446,169.2337466,363431.4887,497584.4746,NA,3,1,"Maybe only 2 m from another solo nest, no rock, but dirt ledge providing shelter",none,20,,M
30,solo30,solo109,11/19/2021,-77.45267236,169.2273198,363450.439,497428.5561,NA,5,0,,abundant,5,WBN,M
31,solo31,solo111,11/20/2021,-77.4525115,169.233417,363468.6541,497576.4171,NA,3,0,,none,75,P/PBN,M
32,solo32,solo112,11/20/2021,-77.45245771,169.2334767,363474.6606,497577.8561,NA,5,1,,none,20,P/FBN,M
33,solo33,solo113,11/20/2021,-77.45207283,169.2274591,363517.3618,497431.8149,NA,3,1,,abundant,25,WBN,B
34,solo34,solo114,11/20/2021,-77.45159398,169.2268201,363570.7809,497416.2155,NA,5,2,Rock not providing protection,none,0,WBN,B
35,solo35,Solo 201,11/18/2021,-77.44932529,169.2230339,0,0,NA,5,0,,abundant,0,P/WBN,B
36,solo36,Solo 202,11/18/2021,-77.44933789,169.2232935,0,0,NA,5,0,,abundant,0,FBN,B
37,solo37,Solo 203,11/18/2021,-77.44993138,169.2266475,0,0,NA,10,2,,some,20,INC,B
38,solo38,Solo 204,11/18/2021,-77.45161514,169.2305762,0,0,NA,6,1,,some,35,INC,B
39,solo39,Solo 205,11/18/2021,-77.45143121,169.2316421,0,0,NA,8,2,,abundant,50,INC,B
40,solo40,Solo 206,11/18/2021,-77.45179624,169.2335079,0,0,NA,4,0,,some,150,P/FBN,M
41,solo41,Solo 207,11/18/2021,-77.4528106,169.2365467,0,0,NA,4,2,,some,0,INC,M
42,solo42,Solo 208,11/18/2021,-77.45323659,169.2324639,0,0,NA,3,0,,abundant,10,P/WBN,M
43,solo43,Solo 209,11/18/2021,-77.45624691,169.2337377,0,0,NA,7,0,,some,20,FBN,QR
44,solo44,Solo 210,11/18/2021,-77.45641586,169.233503,0,0,NA,4,1,,some,50,P/INC,QR
45,solo45,Solo 211,11/18/2021,-77.45652362,169.2323871,0,0,NA,3,0,,some,50,FBN,QR
46,solo46,Solo 212,11/19/2021,-77.45746489,169.2261748,0,0,NA,6,0,,some,35,WBN,QR
47,solo47,Solo 213,11/20/2021,-77.45092328,169.2296256,0,0,NA,5,1,,abundant,30,P/WBN,B
48,solo48,Solo 214,11/20/2021,-77.45366085,169.2159193,0,0,NA,4,1,,abundant,40,P/WBN,C
49,solo49,Solo 215,11/22/2021,-77.45467334,169.2240703,0,0,NA,20,2,,abundant,15,WBN,P
50,solo50,Solo 216,11/22/2021,-77.45531224,169.2242177,0,0,NA,5,2,,abundant,0,WBN,P
